"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Subclasses","Text","At Higher Levels"
"Nathair's Mischief","FTD","20","2nd","Action","Concentration, up to 1 minute","Illusion","60 feet","S, M (a piece of crust from an apple pie)","Bard (PHB), Sorcerer (PHB), Wizard (PHB)","Arcane Trickster (PHB) Rogue, Eldritch Knight (PHB) Fighter","","You fill a 20-foot cube you can see within range with fey and draconic magic. Roll on the Mischievous Surge table to determine the magical effect produced, and roll again at the start of each of your turns until the spell ends. You can move the cube up to 10 feet before you roll.<br><table><tr><th>d4</th><th>Effect</th></tr><tr><td>1</td><td>The smell of apple pie fills the air, and each creature in the cube must succeed on a Wisdom saving throw or become charmed by you until the start of your next turn.</td></tr><tr><td>2</td><td>Bouquets of flowers appear all around, and each creature in the cube must succeed on a Dexterity saving throw or be blinded until the start of your next turn as the flowers spray water in their faces.</td></tr><tr><td>3</td><td>Each creature in the cube must succeed on a Wisdom saving throw or begin giggling until the start of your next turn. A giggling creature is incapacitated and uses all its movement to move in a random direction.</td></tr><tr><td>4</td><td>Drops of molasses hover in the cube, making it difficult terrain until the start of your next turn.</td></tr></table>",""
"Reincarnate","PHB","271","5th","1 Hr.","Instantaneous","Transmutation","Touch","V, S, M (rare oils and unguents worth at least 1,000 gp, which the spell consumes)","Druid (PHB)","","Spore (ToH) Sorcerer, Underfoot (ToH) Rogue","You touch a dead humanoid or a piece of a dead humanoid. Provided that the creature has been dead no longer than 10 days, the spell forms a new adult body for it and then calls the soul to enter that body. If the target's soul isn't free or willing to do so, the spell fails.<br><br>The magic fashions a new body for the creature to inhabit, which likely causes the creature's race to change. The DM rolls a d100 and consults the following table to determine what form the creature takes when restored to life, or the DM chooses a form.<br><table><tr><th>d100</th><th>Race</th></tr><tr><td>01-04</td><td>Dragonborn</td></tr><tr><td>05-13</td><td>Dwarf, hill</td></tr><tr><td>14-21</td><td>Dwarf, mountain</td></tr><tr><td>22-25</td><td>Elf, dark</td></tr><tr><td>26-34</td><td>Elf, high</td></tr><tr><td>35-42</td><td>Elf, wood</td></tr><tr><td>43-46</td><td>Gnome, forest</td></tr><tr><td>47-52</td><td>Gnome, rock</td></tr><tr><td>53-56</td><td>Half-elf</td></tr><tr><td>57-60</td><td>Half-orc</td></tr><tr><td>61-68</td><td>Halfling, lightfoot</td></tr><tr><td>69-76</td><td>Halfling, stout</td></tr><tr><td>77-96</td><td>Human</td></tr><tr><td>97-00</td><td>Tiefling</td></tr></table>The reincarnated creature recalls its former life and experiences. It retains the capabilities it had in its original form, except it exchanges its original race for the new one and changes its racial traits accordingly.",""
"Reincarnate","SRD","271","5th","1 Hr.","Instantaneous","Transmutation","Touch","V, S, M (rare oils and unguents worth at least 1,000 gp, which the spell consumes)","Druid (PHB)","","Spore (ToH) Sorcerer, Underfoot (ToH) Rogue","You touch a dead humanoid or a piece of a dead humanoid. Provided that the creature has been dead no longer than 10 days, the spell forms a new adult body for it and then calls the soul to enter that body. If the target's soul isn't free or willing to do so, the spell fails.<br><br>The magic fashions a new body for the creature to inhabit, which likely causes the creature's race to change. The DM rolls a d100 and consults the following table to determine what form the creature takes when restored to life, or the DM chooses a form.<br><table><tr><th>d100</th><th>Race</th><th>d100</th><th>Race</th></tr><tr><td>01-04</td><td>Dragonborn</td><td>47-52</td><td>Gnome, rock</td></tr><tr><td>05-13</td><td>Dwarf, hill</td><td>53-56</td><td>Half-elf</td></tr><tr><td>14-21</td><td>Dwarf, mountain</td><td>57-60</td><td>Half-orc</td></tr><tr><td>22-25</td><td>Elf, dark</td><td>61-68</td><td>Halfling, lightfoot</td></tr><tr><td>26-34</td><td>Elf, high</td><td>69-76</td><td>Halfling, stout</td></tr><tr><td>35-42</td><td>Elf, wood</td><td>77-96</td><td>Human</td></tr><tr><td>43-46</td><td>Gnome, forest</td><td>97-00</td><td>Tiefling</td></tr></table>The reincarnated creature recalls its former life and experiences. It retains the capabilities it had in its original form, except it exchanges its original race for the new one and changes its racial traits accordingly.",""
"Scrying","PHB","273","5th","10 Min.","Concentration, up to 10 minutes","Divination","Self","V, S, M (a focus worth at least 1,000 gp, such as a crystal ball, a silver mirror, or a font filled with holy water)","Bard (PHB), Cleric (PHB), Druid (PHB), Warlock (PHB), Wizard (PHB)","","Land (Coast) (PHB) Druid, Land (Swamp) (PHB) Druid, Divine Soul (XGE) Sorcerer, Knowledge (PHB) Cleric, Light (PHB) Cleric, Vengeance (PHB) Paladin, Spelldrinker (TGS2) Paladin, Watchers (TCE) Paladin, Profane Soul (BH2022) Blood Hunter, Smuggler (ToH) Rogue, Soulspy (ToH) Rogue, Spore (ToH) Sorcerer, Underfoot (ToH) Rogue","You can see and hear a particular creature you choose that is on the same plane of existence as you. The target must make a Wisdom saving throw, which is modified by how well you know the target and the sort of physical connection you have to it. If a target knows you're casting this spell, it can fail the saving throw voluntarily if it wants to be observed.<br><br>Knowledge of Target<br><table><tr><th>Knowledge</th><th>Save Modifier</th></tr><tr><td>Secondhand (you have heard of the target)</td><td>+5</td></tr><tr><td>Firsthand (you have met the target)</td><td>+0</td></tr><tr><td>Familiar (you know the target well)</td><td>-5</td></tr></table>Connection to Target<br><table><tr><th>Connection</th><th>Save Modifier</th></tr><tr><td>Likeness or picture</td><td>-2</td></tr><tr><td>Possession or garment</td><td>-4</td></tr><tr><td>Body part, lock of hair, bit of nail, or the like</td><td>-10</td></tr></table>On a successful save, the target isn't affected, and you can't use this spell against it again for 24 hours.<br><br>On a failed save, the spell creates an invisible sensor within 10 feet of the target. You can see and hear through the sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. A creature that can see invisible objects sees the sensor as a luminous orb about the size of your fist.<br><br>Instead of targeting a creature, you can choose a location you have seen before as the target of this spell. When you do, the sensor appears at that location and doesn't move.",""
"Scrying","SRD","273","5th","10 Min.","Concentration, up to 10 minutes","Divination","Self","V, S, M (a focus worth at least 1,000 gp, such as a crystal ball, a silver mirror, or a font filled with holy water)","Bard (PHB), Cleric (PHB), Druid (PHB), Warlock (PHB), Wizard (PHB)","","Land (Coast) (PHB) Druid, Land (Swamp) (PHB) Druid, Knowledge (PHB) Cleric, Light (PHB) Cleric, Vengeance (PHB) Paladin, Profane Soul (BH2022) Blood Hunter, Smuggler (ToH) Rogue, Soulspy (ToH) Rogue, Spore (ToH) Sorcerer, Underfoot (ToH) Rogue","You can see and hear a particular creature you choose that is on the same plane of existence as you. The target must make a Wisdom saving throw, which is modified by how well you know the target and the sort of physical connection you have to it. If a target knows you're casting this spell, it can fail the saving throw voluntarily if it wants to be observed.<table><tr><th>Knowledge</th><th>Mod</th></tr><tr><td>Secondhand (you have heard of the target)</td><td>+5</td></tr><tr><td>Firsthand (you have met the target)</td><td>+0</td></tr><tr><td>Familiar (you know the target well)</td><td>-5</td></tr></table><table><tr><th>Connection</th><th>Mod</th></tr><tr><td>Likeness or picture</td><td>-2</td></tr><tr><td>Possession or garment</td><td>-4</td></tr><tr><td>Body part, lock of hair, bit of nail, or the like</td><td>-10</td></tr></table>On a successful save, the target isn't affected, and you can't use this spell against it again for 24 hours.<br><br>On a failed save, the spell creates an invisible sensor within 10 feet of the target. You can see and hear through the sensor as if you were there. The sensor moves with the target, remaining within 10 feet of it for the duration. A creature that can see invisible objects sees the sensor as a luminous orb about the size of your fist.<br><br>Instead of targeting a creature, you can choose a location you have seen before as the target of this spell. When you do, the sensor appears at that location and doesn't move.",""
"Teleport","PHB","281","7th","Action","Instantaneous","Conjuration","10 feet","V","Bard (PHB), Sorcerer (PHB), Wizard (PHB)","","Arcana (SCAG) Cleric, Smuggler (ToH) Rogue","This spell instantly transports you and up to eight willing creatures of your choice that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be able to fit entirely inside a 10-foot cube, and it can't be held or carried by an unwilling creature.<br><br>The destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether you arrive there successfully. The DM rolls d100 and consults the table.<br><br>Teleportation<br><table><tr><th>Familiarity</th><th>Mishap</th><th>Similar Area</th><th>Off Target</th><th>On Target</th></tr><tr><td>Permanent circle</td><td>—</td><td>—</td><td>—</td><td>01–100</td></tr><tr><td>Associated object</td><td>—</td><td>—</td><td>—</td><td>01–100</td></tr><tr><td>Very familiar</td><td>01–05</td><td>06–13</td><td>14–24</td><td>25–100</td></tr><tr><td>Seen casually</td><td>01–33</td><td>34–43</td><td>44–53</td><td>54–100</td></tr><tr><td>Viewed once</td><td>01–43</td><td>44–53</td><td>54–73</td><td>74–100</td></tr><tr><td>Description</td><td>01–43</td><td>44–53</td><td>54–73</td><td>74–100</td></tr><tr><td>False destination</td><td>01–50</td><td>51–100</td><td>—</td><td>—</td></tr></table>Familiarity. Permanent circle means a permanent teleportation circle whose sigil sequence you know. Associated object means that you possess an object taken from the desired destination within the last six months, such as a book from a wizard's library, bed linen from a royal suite, or a chunk of marble from a lich's secret tomb.<br><br>Very familiar is a place you have been very often, a place you have carefully studied, or a place you can see when you cast the spell. Seen casually is someplace you have seen more than once but with which you aren't very familiar. Viewed once is a place you have seen once, possibly using magic. Description is a place whose location and appearance you know through someone else's description, perhaps from a map.<br><br>False destination is a place that doesn't exist. Perhaps you tried to scry an enemy's sanctum but instead viewed an illusion, or you are attempting to teleport to a familiar location that no longer exists.<br><br>On Target. You and your group (or the target object) appear where you want to.<br><br>Off Target. You and your group (or the target object) appear a random distance away from the destination in a random direction. Distance off target is 1d10 × 1d10 percent of the distance that was to be traveled. For example, if you tried to travel 120 miles, landed off target, and rolled a 5 and 3 on the two d10s, then you would be off target by 15 percent, or 18 miles. The DM determines the direction off target randomly by rolling a d8 and designating 1 as north, 2 as northeast, 3 as east, and so on around the points of the compass. If you were teleporting to a coastal city and wound up 18 miles out at sea, you could be in trouble.<br><br>Similar Area. You and your group (or the target object) wind up in a different area that's visually or thematically similar to the target area. If you are heading for your home laboratory, for example, you might wind up in another wizard's laboratory or in an alchemical supply shop that has many of the same tools and implements as your laboratory. Generally, you appear in the closest similar place, but since the spell has no range limit, you could conceivably wind up anywhere on the plane.<br><br>Mishap. The spell's unpredictable magic results in a difficult journey. Each teleporting creature (or the target object) takes 3d10 force damage, and the DM rerolls on the table to see where you wind up (multiple mishaps can occur, dealing damage each time).",""
"Teleport","SRD","281","7th","Action","Instantaneous","Conjuration","10 feet","V","Bard (PHB), Sorcerer (PHB), Wizard (PHB)","","Smuggler (ToH) Rogue","This spell instantly transports you and up to eight willing creatures of your choice that you can see within range, or a single object that you can see within range, to a destination you select. If you target an object, it must be able to fit entirely inside a 10-foot cube, and it can't be held or carried by an unwilling creature.<br><br>The destination you choose must be known to you, and it must be on the same plane of existence as you. Your familiarity with the destination determines whether you arrive there successfully. The DM rolls d100 and consults the table.<br><br>Teleportation<br><table><tr><th>Familiarity</th><th>Mishap</th><th>Similar Area</th><th>Off Target</th><th>On Target</th></tr><tr><td>Permanent circle</td><td>—</td><td>—</td><td>—</td><td>01–100</td></tr><tr><td>Associated object</td><td>—</td><td>—</td><td>—</td><td>01–100</td></tr><tr><td>Very familiar</td><td>01–05</td><td>06–13</td><td>14–24</td><td>25–100</td></tr><tr><td>Seen casually</td><td>01–33</td><td>34–43</td><td>44–53</td><td>54–100</td></tr><tr><td>Viewed once</td><td>01–43</td><td>44–53</td><td>54–73</td><td>74–100</td></tr><tr><td>Description</td><td>01–43</td><td>44–53</td><td>54–73</td><td>74–100</td></tr><tr><td>False destination</td><td>01–50</td><td>51–100</td><td>—</td><td>—</td></tr></table>Familiarity. Permanent circle means a permanent teleportation circle whose sigil sequence you know. Associated object means that you possess an object taken from the desired destination within the last six months, such as a book from a wizard's library, bed linen from a royal suite, or a chunk of marble from a lich's secret tomb.<br><br>Very familiar is a place you have been very often, a place you have carefully studied, or a place you can see when you cast the spell. Seen casually is someplace you have seen more than once but with which you aren't very familiar. Viewed once is a place you have seen once, possibly using magic. Description is a place whose location and appearance you know through someone else's description, perhaps from a map.<br><br>False destination is a place that doesn't exist. Perhaps you tried to scry an enemy's sanctum but instead viewed an illusion, or you are attempting to teleport to a familiar location that no longer exists.<br><br>On Target. You and your group (or the target object) appear where you want to.<br><br>Off Target. You and your group (or the target object) appear a random distance away from the destination in a random direction. Distance off target is 1d10 × 1d10 percent of the distance that was to be traveled. For example, if you tried to travel 120 miles, landed off target, and rolled a 5 and 3 on the two d10s, then you would be off target by 15 percent, or 18 miles. The DM determines the direction off target randomly by rolling a d8 and designating 1 as north, 2 as northeast, 3 as east, and so on around the points of the compass. If you were teleporting to a coastal city and wound up 18 miles out at sea, you could be in trouble.<br><br>Similar Area. You and your group (or the target object) wind up in a different area that's visually or thematically similar to the target area. If you are heading for your home laboratory, for example, you might wind up in another wizard's laboratory or in an alchemical supply shop that has many of the same tools and implements as your laboratory. Generally, you appear in the closest similar place, but since the spell has no range limit, you could conceivably wind up anywhere on the plane.<br><br>Mishap. The spell's unpredictable magic results in a difficult journey. Each teleporting creature (or the target object) takes 3d10 force damage, and the DM rerolls on the table to see where you wind up (multiple mishaps can occur, dealing damage each time).",""
"Animate Objects","PHB","213","5th","Action","Concentration, up to 1 minute","Transmutation","120 feet","V, S","Artificer (TCE), Bard (PHB), Sorcerer (PHB), Wizard (PHB)","","Forge (XGE) Cleric, Grove Warden (ToH) Ranger, Smuggler (ToH) Rogue","Objects come to life at your command. Choose up to ten nonmagical objects within range that are not being worn or carried. Medium targets count as two objects, Large targets count as four objects, Huge targets count as eight objects. You can't animate any object larger than Huge. Each target animates and becomes a creature under your control until the spell ends or until reduced to 0 hit points.<br><br>As a bonus action, you can mentally command any creature you made with this spell if the creature is within 500 feet of you (if you control multiple creatures, you can command any or all of them at the same time, issuing the same command to each one). You decide what action the creature will take and where it will move during its next turn, or you can issue a general command, such as to guard a particular chamber or corridor. If you issue no commands, the creature only defends itself against hostile creatures. Once given an order, the creature continues to follow it until its task is complete.<br><table><tr><th>Size</th><th>HP</th><th>AC</th><th>Attack</th><th>Str</th><th>Dex</th></tr><tr><td>Tiny</td><td>20</td><td>18</td><td>+8 to hit, 1d4 + 4 damage</td><td>4</td><td>18</td></tr><tr><td>Small</td><td>25</td><td>16</td><td>+6 to hit, 1d8 + 2 damage</td><td>6</td><td>14</td></tr><tr><td>Medium</td><td>40</td><td>13</td><td>+5 to hit, 2d6 + 1 damage</td><td>10</td><td>12</td></tr><tr><td>Large</td><td>50</td><td>10</td><td>+6 to hit, 2d10 + 2 damage</td><td>14</td><td>10</td></tr><tr><td>Huge</td><td>80</td><td>10</td><td>+8 to hit, 2d12 + 4 damage</td><td>18</td><td>6</td></tr></table>An animated object is a construct with AC, hit points, attacks, Strength, and Dexterity determined by its size. Its Constitution is 10 and its Intelligence and Wisdom are 3, and its Charisma is 1. Its speed is 30 feet; if the object lacks legs or other appendages it can use for locomotion, it instead has a flying speed of 30 feet and can hover. If the object is securely attached to a surface or a larger object, such as a chain bolted to a wall, its speed is 0. It has blindsight with a radius of 30 feet and is blind beyond that distance. When the animated object drops to 0 hit points, it reverts to its original object form, and any remaining damage carries over to its original object form.<br><br>If you command an object to attack, it can make a single melee attack against a creature within 5 feet of it. It makes a slam attack with an attack bonus and bludgeoning damage determined by its size. The DM might rule that a specific object inflicts slashing or piercing damage based on its form.","At Higher Levels. If you cast this spell using a spell slot of 6th level or higher, you can animate two additional objects for each slot level above 5th."
"Moonlight Sending","BoET","68","4th","Action","Instantaneous","Conjuration","Self","V, S, M (an offering of gemstones, incense, and oils worth at least 400 gp, which the spell consumes, set afire in an alabaster bowl)","","Cleric (PHB), Druid (PHB), Sorcerer (PHB), Wizard (PHB)","","You exhort a fiend to attack a distant foe. After the offering is made, make a spell attack roll to determine which fiend is summoned:<br><table><tr><th>1d20 + (𝑛)</th><th>Result</th><th>CR</th></tr><tr><td>1-4</td><td>Sending fails</td><td>—</td></tr><tr><td>5-8</td><td>Wind demon (see Creature Codex) or quasit</td><td>1-2</td></tr><tr><td>9-12</td><td>Rattok demon (see Creature Codex) or bearded devil</td><td>3-4</td></tr><tr><td>13-16</td><td>Lesser lunar devil or vrock</td><td>4-6</td></tr><tr><td>17-20</td><td>Lunar devil or hezrou</td><td>8</td></tr><tr><td>21+</td><td>Alnaar (see Creature Codex) or horned devil</td><td>9-11</td></tr></table>",""
"Summon Lesser Demons","XGE","167","3rd","Action","Concentration, up to 1 hour","Conjuration","60 feet","V, S, M (a vial of blood from a humanoid killed within the past 24 hours)","","Warlock (PHB), Wizard (PHB)","Arcane Trickster (PHB) Rogue, Eldritch Knight (PHB) Fighter","You utter foul words, summoning demons from the chaos of the Abyss. Roll on the following table to determine what appears.<br><table><tr><th>d6</th><th>Demons Summoned</th></tr><tr><td>1-2</td><td>Two demons of challenge rating 1 or lower</td></tr><tr><td>3-4</td><td>Four demons of challenge rating 1/2 or lower</td></tr><tr><td>5-6</td><td>Eight demons of challenge rating 1/4 or lower</td></tr></table>The DM chooses the demons, such as manes or dretches, and you choose the unoccupied spaces you can see within range where they appear. A summoned demon disappears when it drops to 0 hit points or when the spell ends.<br><br>The demons are hostile to all creatures, including you. Roll initiative for the summoned demons as a group, which has its own turns. The demons pursue and attack the nearest non-demons to the best of their ability.<br><br>As part of casting the spell, you can form a circle on the ground with the blood used as a material component. The circle is large enough to encompass your space. While the spell lasts, the summoned demons can't cross the circle or harm it, and they can't target anyone within it. Using the material component in this manner consumes it when the spell ends.","At Higher Levels. When you cast this spell using a spell slot of 6th or 7th level, you summon twice as many demons. If you cast it using a spell slot of 8th or 9th level, you summon three times as many demons."
"Guardian of Nature","XGE","157","4th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V","","Druid (PHB), Ranger (PHB)","","A nature spirit answers your call and transforms you into a powerful guardian. The transformation lasts until the spell ends. You choose one of the following forms to assume:<br><br><b>Primal Beast.</b> Bestial fur covers your body, your facial features become feral, and you gain the following benefits: Your walking speed increases by 10 feet. You gain darkvision with a range of 120 feet. You make Strength-based attack rolls with advantage. Your melee weapon attacks deal an extra 1d6 force damage on a hit.<br><br><b>Great Tree.</b> Your skin appears barky, leaves sprout from your hair, and you gain the following benefits: You gain 10 temporary hit points. You make Constitution saving throws with advantage. You make Dexterity- and Wisdom-based attack rolls with advantage. While you are on the ground, the ground within 15 feet of you is difficult terrain for your enemies.",""
"Octarine Spray","DoDk","228","7th","Action","Instantaneous","Evocation (contaminated)","Self (60-foot cone)","V, S, M (a delerium fragment worth 100 gp, which the spell consumes)","","Bard (PHB), Bard (XPHB), Sorcerer (PHB), Sorcerer (XPHB), Warlock (PHB), Warlock (XPHB), Wizard (PHB), Wizard (XPHB)","","When you cast this spell, you gain one level of contamination. Octarine rays of light flash from your hand. Each ray is a different colour and has a different power and purpose, see the table below. Each creature in a 60-foot cone must succeed on a Constitution saving throw. For each target, roll a d8 to determine which colour ray affects it.<br><table><tr><th>d8</th><th>Octarine Spray Effect</th></tr><tr><td>1</td><td>The target takes 20d6 psychic damage on a failed save, or half as much damage on a success.</td></tr><tr><td>2</td><td>The target takes 20d6 necrotic damage on a failed save, or half as much damage on a success.</td></tr><tr><td>3</td><td>The target takes 20d6 force damage on a failed save, or half as much damage on a success.</td></tr><tr><td>4</td><td>The target takes 20d6 radiant damage on a failed save, or half as much damage on a success.</td></tr><tr><td>5</td><td>The target takes 20d6 thunder damage on a failed save, or half as much damage on a success.</td></tr><tr><td>6</td><td>At the start of each of its turns, the affected target uses all its movement to move directly towards the closest creature it can see. Then, the affected target uses its action to make a melee attack against a randomly determined creature within its reach. If there is no creature within its reach, the affected target does nothing this turn. At the end of each of its turns, the affected target can make a Wisdom saving throw. If it succeeds, this effect ends for that target.</td></tr><tr><td>7</td><td>At the start of each of its turns, the affected target gains one level of contamination. At the end of each of its turns, an affected target can make a Constitution saving throw. If it succeeds, this effect ends for that target, but any contamination levels gained remain.</td></tr><tr><td>8</td><td>Special. The target is struck by an additional ray. Roll again twice. There's no limit to how many additional rays can strike a single creature in this manner.</td></tr></table>",""
"Name","Source","Page","Level","Casting Time","Duration","School","Range","Components","Classes","Optional/Variant Classes","Subclasses","Text","At Higher Levels"
"Divine Word","PHB","234","7th","Bonus","Instantaneous","Evocation","30 feet","V","Cleric (PHB)","","Divine Soul (XGE) Sorcerer, Soulspy (ToH) Rogue","You utter a divine word, imbued with the power that shaped the world at the dawn of creation. Choose any number of creatures you can see within range. Each creature that can hear you must make a Charisma saving throw. On a failed save, a creature suffers an effect based on its current hit points:<br><table><tr><th>HP</th><th>Effect</th></tr><tr><td>≤ 50</td><td>deafened for 1 minute</td></tr><tr><td>≤ 40</td><td>deafened and blinded for 10 minutes</td></tr><tr><td>≤ 30</td><td>blinded, deafened, and stunned for 1 hour</td></tr><tr><td>≤ 20</td><td>killed instantly</td></tr></table>Regardless of its current hit points, a celestial, an elemental, a fey, or a fiend that fails its save is forced back to its plane of origin (if it isn't there already) and can't return to your current plane for 24 hours by any means short of a wish spell.",""
"Conjure Minor Elementals","PHB","226","4th","1 Min.","Concentration, up to 1 hour","Conjuration","90 feet","V, S","Druid (PHB), Wizard (PHB)","","Arcane Trickster (PHB) Rogue, Wind (ToH) Druid, Eldritch Knight (PHB) Fighter, Elementalist (DM) Wizard, Elements (ToH) Paladin, Ocean (DM) Cleric, Smuggler (ToH) Rogue, Speed (DM) Cleric, Spore (ToH) Sorcerer, Underfoot (ToH) Rogue, Wind (ToH) Cleric","You summon elementals that appear in unoccupied spaces that you can see within range. You choose one the following options for what appears:One elemental of challenge rating 2 or lowerTwo elementals of challenge rating 1 or lowerFour elementals of challenge rating 1/2 or lowerEight elementals of challenge rating 1/4 or lowerAn elemental summoned by this spell disappears when it drops to 0 hit points or when the spell ends.The summoned creatures are friendly to you and your companions. Roll initiative for the summoned creatures as a group, which has its own turns. They obey any verbal commands that you issue to them (no action required by you). If you don't issue any commands to them, they defend themselves from hostile creatures, but otherwise take no actions.The DM has the creatures' statistics.","At Higher Levels. When you cast this spell using certain higher-level spell slots, you choose one of the summoning options above, and more creatures appear: twice as many with a 6th-level slot and three times as many with an 8th-level slot."
"Tasha's Otherworldly Guise","TCE","116","6th","Bonus","Concentration, up to 1 minute","Transmutation","Self","V, S, M (an object engraved with a symbol of the Outer Planes, worth at least 500 gp)","","Sorcerer (PHB), Warlock (PHB), Wizard (PHB)","Arcana (SCAG) Cleric","Uttering an incantation, you draw on the magic of the Lower Planes or Upper Planes (your choice) to transform yourself. You gain the following benefits until the spell ends:<br>► You are immune to fire and poison damage (Lower Planes) or radiant and necrotic damage (Upper Planes).<br>► You are immune to the poisoned condition (Lower Planes) or the charmed condition (Upper Planes).<br>► Spectral wings appear on your back, giving you a flying speed of 40 feet.<br>► You have a +2 bonus to AC.<br>► All your weapon attacks are magical, and when you make a weapon attack, you can use your spellcasting ability modifier, instead of Strength or Dexterity, for the attack and damage rolls.<br>► You can attack twice, instead of once, when you take the Attack action on your turn. You ignore this benefit if you already have a feature, like Extra Attack, that lets you attack more than once when you take the Attack action on your turn.",""
